key,value,label,rank,rank_point,rank_line,rank_polygon
aerodrome,international,Aéroport international,10,,,
amenity,ferry_terminal, Terminal de ferry,10,,,
aerodrome,airport,Aéroport,9,,,
iata,,Aéroport,9,,,
aeroway,aerodrome, Aérodrome,8,,,
amenity,hospital, Hôpital,8,,,
amenity,university, Université,8,,,
heritage,1,Patrimoine mondial,8,,,
heritage,2,Monument historique,7,,,
amenity,casino, Casino,6,,,
amenity,clinic, Clinique,6,,,
amenity,college, Établissement d’enseignement supérieur,6,,,
amenity,community_centre, Salle polyvalente,6,,,
amenity,courthouse, Palais de justice,6,,,
amenity,embassy, Ambassade,6,,,
amenity,monastery, Monastère,6,,,
amenity,police, Police,6,,,
amenity,prison, Prison,6,,,
amenity,public_building, Bâtiment public,6,,,
amenity,townhall, Hôtel de ville / Mairie,6,,,
boundary,national_park, Parc national,6,,,
boundary,protected_area, Zone protégée,6,,,
heritage,3,Patrimoine national,6,,,
historic,heritage, Site du patrimoine,6,,,
leisure,stadium, Stade,6,,,
mountain_pass,yes, Col de montagne,6,,,
natural,bay, Baie,6,,,
natural,beach, Plage,6,,,
natural,cape, Cap,6,,,
natural,fjord, Fjord,6,,,
natural,forest, Forêt,6,,,
natural,geyser, Geyser,6,,,
natural,glacier, Glacier,6,,,
natural,peak, Pic,6,,,
natural,point, Pointe,6,,,
natural,strait, Détroit,6,,,
natural,valley, Vallée,6,,,
natural,volcano, Volcan,6,,,
railway,station, Gare ferroviaire,6,,,
shop,department_store, Grand magasin,6,,,
shop,mall, Galerie marchande,6,,,
shop,shopping_centre, Centre commercial,6,,,
tourism,museum, Musée,6,,,
tourism,theme_park, Parc à thème,6,,,
tourism,zoo, Zoo,6,,,
aerialway,cable_car, Téléphérique,5,,,
aeroway,helipad, Héliport,5,,,
aeroway,terminal, Terminal,5,,,
amenity,bureau_de_change, Bureau de change,5,,,
amenity,car_sharing, Covoiturage,5,,,
amenity,charging_station, Station de recharge,5,,,
amenity,crematorium, Crématorium,5,,,
amenity,fire_station, Caserne des pompiers,5,,,
amenity,food_court, Aire de restauration,5,,,
